English,Deutsch
complexity,Komplexität
compliance,Einhaltung
complication,Komplikation
comply,einhalten
compose,komponieren
composer,Komponist
composition,Zusammensetzung
compound,Verbindung
comprehensive,umfassend
comprise,umfassen
compromise,Kompromiss
compulsory,obligatorisch
compute,berechnen
conceal,verbergen
concede,zugeben
conceive,empfangen
conception,Konzeption
concession,Konzession
concrete,Beton
condemn,verurteilen
confer,verleihen
confess,bekennen
confession,Geständnis
configuration,Konfiguration
confine,beschränken
confirmation,Bestätigung
confront,konfrontieren
confrontation,Konfrontation
confusion,Verwirrung
congratulate,gratulieren
congregation,Gemeinde
congressional,Kongress-
conquer,erobern
conscience,Gewissen
consciousness,Bewusstsein
consecutive,aufeinanderfolgend
consensus,Konsens
consent,Zustimmung
consequently,folglich
conservation,Erhaltung
conserve,sparen
considerable,beträchtlich
considerably,wesentlich
consistency,Konsistenz
consistently,konsequent
consolidate,konsolidieren
conspiracy,Verschwörung
constituency,Wahlkreis
constitute,bilden
constitution,Verfassung
constitutional,verfassungsrechtlich
constraint,Zwang
consult,konsultieren
consultant,Berater
consultation,Beratung
consumption,Verbrauch
contemplate,überlegen
contempt,Verachtung
contend,kämpfen
contender,Anwärter
content,Inhalt
contention,Streit
continually,ständig
contractor,Auftragnehmer
contradiction,Widerspruch
contrary,Gegenteil
contributor,Mitwirkender
controversial,umstritten
controversy,Kontroverse
convenience,Bequemlichkeit
convention,Konvention
conventional,konventionell
conversion,Konvertierung
convey,vermitteln
convict,Sträfling
conviction,Überzeugung
convincing,überzeugend
cooperate,zusammenarbeiten
cooperative,Kooperative
coordinate,koordinieren
coordination,Koordinierung
coordinator,Koordinator
cop,Polizist
cope,bewältigen
copper,Kupfer
copyright,Copyright
corporation,Gesellschaft
correction,Korrektur
correlate,Korrelat
correlation,Korrelation
correspond,entsprechen
correspondence,Korrespondenz
correspondent,Korrespondent
corresponding,entsprechend
corridor,Korridor
corrupt,korrupt
corruption,Korruption
costly,teuer
councillor,Stadtrat
counselling,Beratung
counsellor,Berater
counter,Schalter
counterpart,Gegenstück
countless,unzählige
coup,Coup
courtesy,Anstand
coverage,Berichterstattung
crack,Riss
craft,Handwerk
crawl,kriechen
creativity,Kreativität
creator,Schöpfer
credibility,Glaubwürdigkeit
credible,glaubwürdig
creep,kriechen
critically,kritisch
critique,Kritik
crown,Krone
crude,Rohöl
cruise,Kreuzfahrt
crush,zerquetschen
crystal,Kristall
cue,Hinweis
cult,Kult
cultivate,pflegen
curiosity,Neugier
curious,neugierig
curriculum,Lehrplan
custody,Gewahrsam
cute,Niedlich
cutting,Schneiden
cynical,zynisch
dairy,Molkerei
dam,Damm
damaging,schädlich
dare,wagen
darkness,Dunkelheit
database,Datenbank
dawn,Dämmerung
deadline,Frist
deadly,tödlich
dealer,Händler
debris,Trümmer
debut,Debüt
decision-making,Entscheidungsfindung
decisive,entscheidend
deck,Deck
declaration,Erklärung
dedicated,gewidmet
dedication,Hingabe
deed,Tat
deem,halten
default,Standard
defect,Defekt
defender,Verteidiger
defensive,Defensive
deficiency,Mangel
deficit,Defizit
defy,trotzen
delegate,delegieren
delegation,Delegation
delete,löschen
delicate,empfindlich
democracy,Demokratie
democratic,demokratisch
demon,Dämon
demonstration,Demonstration
denial,Verweigerung
denounce,anprangern
dense,dicht
density,Dichte
depart,abweichen
dependence,Abhängigkeit
dependent,abhängig
depict,abbilden
deploy,einsetzen
deployment,Einsatz
deposit,Kaution
depression,Depression
deprive,berauben
deputy,Stellvertreter
derive,ableiten
descend,absteigen
descent,Abstieg
designate,benennen
desirable,wünschenswert
desktop,Desktop
desperately,verzweifelt
destruction,Zerstörung
destructive,destruktiv
detain,festhalten
detection,Detektion
detention,Festnahme
deteriorate,verschlechtern
determination,Bestimmung
devastate,verwüsten
devil,Teufel
devise,Gerät
devote,widmen
diagnose,diagnostizieren
diagnosis,Diagnose
dictate,diktieren
dictator,Diktator
differ,abweichen
differentiate,unterscheiden
dignity,Würde
dilemma,Dilemma
dimension,Dimension
diminish,verringern
dip,tauchen
diplomat,Diplomat
diplomatic,diplomatisch
directory,Verzeichnis
disability,Behinderung
disabled,deaktiviert
disagreement,Uneinigkeit
disappoint,enttäuschen
disappointment,Enttäuschung
disastrous,katastrophal
discard,verwerfen
discharge,Entladung
disclose,offenlegen
disclosure,Offenlegung
discourage,entmutigen
discourse,Diskurs
discretion,Diskretion
discrimination,Diskriminierung
dismissal,Entlassung
disorder,Störung
displace,verdrängen
disposal,Entsorgung
dispose,entsorgen
dispute,Disput
disrupt,stören
disruption,Störung
dissolve,lösen
distant,entfernt
distinct,unterscheidbar
distinction,Unterscheidung
distinctive,unverwechselbar
distinguish,unterscheiden
distort,verzerren
distract,ablenken
distress,Not
disturb,stören
disturbing,verstörend
dive,tauchen
diverse,vielfältig
diversity,Diversität
divert,umleiten
divine,göttlich
divorce,Scheidung
doctrine,Lehre
documentation,Dokumentation
domain,Domain
dominance,Dominanz
dominant,dominant
donation,Spende
donor,Spender
dose,Dosis
dot,Punkt
downtown,Innenstadt
drain,Abfluss
dramatically,dramatisch
drift,Drift
driving,Fahren
drought,Trockenheit
drown,ertrinken
dual,Dual
dub,Synchronisation
dull,langweilig
dumb,dumm
dump,entsorgen
duo,Duo
duration,Dauer
dynamic,dynamisch
eager,erpicht
earnings,Gewinne
ease,Leichtigkeit
echo,Echo
ecological,ökologisch
economics,Wirtschaft
economist,Ökonom
editorial,redaktionelle
educator,Erzieher
effectiveness,Wirksamkeit
efficiency,Effizienz
efficiently,effizient
ego,Ego
elaborate,durchdacht
elbow,Ellbogen
electoral,Wahlen
electronics,Elektronik
elegant,elegant
elementary,Grundschule
elevate,erheben
eligible,berechtigt
eliminate,beseitigen
elite,Elite
embark,einschiffen
embarrassment,Verlegenheit
embassy,Botschaft
embed,einbetten
embody,verkörpern
embrace,umarmen
emergence,Entstehung
emission,Emission
emotionally,emotional
empire,Reich
empirical,empirisch
empower,ermächtigen
enact,erlassen
encompass,umfassen
encouragement,Ermutigung
encouraging,ermutigend
endeavour,Bestreben
endless,endlos
endorse,unterstützen
endorsement,Billigung
endure,aushalten
enforce,erzwingen
enforcement,Durchsetzung
engagement,Engagement
engaging,fesselnd
enjoyable,angenehm
enquire,erkundigen
enrich,bereichern
enrol,einschreiben
ensue,erfolgen
enterprise,Unternehmen
entertaining,unterhaltsam
enthusiast,Enthusiast
entitle,berechtigen
entity,juristische Person
entrepreneur,Unternehmer
envelope,Umschlag
epidemic,Epidemie
equality,Gleichwertigkeit
equation,Gleichung
equip,Ausrüstung
equivalent,Äquivalent
era,Epoche
erect,aufrecht
erupt,ausbrechen
escalate,eskalieren
essence,Wesen
essentially,im Wesentlichen
establishment,Gründung
eternal,ewig
ethic,Ethik
ethnic,ethnisch
evacuate,evakuieren
evaluation,Auswertung
evident,offensichtlich
evoke,evozieren
evolution,Evolution
evolutionary,evolutionär
evolve,evolve
exaggerate,übertreiben
exceed,überschreiten
excellence,Exzellenz
exception,Ausnahme
exceptional,außergewöhnlich
excess,Überschuss
excessive,übermäßig
exclude,ausschließen
exclusion,Ausschluss
exclusive,exklusiv
exclusively,ausschließlich
execute,ausführen
execution,Ausführung
exert,ausüben
exhibit,ausstellen
exile,Exil
exit,Ausfahrt
exotic,exotisch
expansion,Erweiterung
expenditure,Ausgaben
experimental,Experimental-
expertise,Sachverstand
expire,erlöschen
explicit,explizit
explicitly,ausdrücklich
exploit,ausbeuten
exploitation,Ausbeutung
explosive,explosive
exposure,Belichtung
extension,Verlängerung
extensive,umfangreich
extensively,ausführlich
extract,Extrakt
extremist,Extremist
fabric,Stoff
fabulous,fabelhaft
facilitate,erleichtern
faction,Fraktion
faculty,Fakultät
fade,verblassen
failed,fehlgeschlagen
fairness,Fairness
fake,gefälscht
fame,Ruhm
fantasy,Fantasie
fare,Fahrpreis
fatal,tödlich
fate,Schicksal
favourable,günstig
feat,feat
federal,föderal
feeding,Fütterung
feminist,Feminist
fever,Fieber
fibre,Faser
fierce,erbittert
film-maker,Filmemacher
filter,Filter
fine,Bußgeld
firearm,Feuerwaffe
firefighter,Feuerwehrmann
firework,Feuerwerk
firm,Firma
firmly,fest
fit,fit
fixture,Vorrichtung
flavour,Geschmack
flaw,Mangel
flawed,fehlerhaft
flee,fliehen
fleet,Flotte
flesh,Fleisch
flexibility,Flexibilität
flourish,blühen
fluid,Flüssigkeit
fond,liebevoll
fool,Narr
footage,Filmmaterial
forbid,verbieten
forecast,Vorhersage
foreigner,Ausländer
forge,Schmiede
format,Format
formation,Bildung
formerly,früher
formula,Formel
formulate,formulieren
forth,weiter
forthcoming,demnächst
fortunate,glücklich
forum,Forum
fossil,Fossil
foster,fördern
foundation,Stiftung
founder,Gründer
fraction,Fraktion
fragile,zerbrechlich
fragment,Fragment
framework,Rahmen
franchise,Franchise
frankly,ehrlich gesagt
fraud,Betrug
freely,frei
frequent,häufig
frustrated,frustriert
frustrating,frustrierend
frustration,Frustration
fulfil,erfüllen
full-time,Vollzeit
functional,funktional
fundamentally,im Grunde genommen
fundraising,Spendenaktionen
funeral,Beerdigung
furious,wütend
gallon,Gallone
gambling,Glücksspiel
gaming,Spiele
gathering,Versammlung
gay,schwul
gaze,Blick
gear,Gang
gender,Geschlecht
gene,Gen
generic,generisch
genetic,genetisch
genius,Genius
genocide,Völkermord
genuine,echt
genuinely,original
gesture,Geste
gig,Gig
glance,Blick
glimpse,Blick
globalization,Globalisierung
globe,Globus
glorious,herrlich
glory,Ruhm
golden,golden
goodness,Güte
gorgeous,wunderschön
governance,Governance
governor,Gouverneur
grace,Anmut
graphic,Grafik
graphics,Grafik
grasp,fassen
grave,Grab
gravity,Schwerkraft
greatly,stark
greenhouse,Gewächshaus
grid,Netz
grief,Kummer
grin,Grinsen
grind,schleifen
grip,Griff
grocery,Lebensmittelgeschäft
guerrilla,Guerilla
guidance,Anleitung
guideline,Richtlinie
guilt,Schuld
gut,Darm
habitat,Lebensraum
hail,Hagel
halfway,halb
halt,Halt
handful,Hand voll
handling,Handhabung
handy,praktisch
harassment,Belästigung
harbour,Hafen
hardware,Hardware
harmony,Harmonie
harsh,harsch
harvest,Ernte
hatred,Hass
haunt,verfolgen
hazard,Gefahr
headquarters,Hauptsitz
heal,heilen
healthcare,Gesundheitspflege
heighten,erhöhen
helmet,Helm
hence,somit
herb,Kraut
heritage,Erbe
hidden,versteckt
hierarchy,Hierarchie
high-profile,hochkarätig
highway,Autobahn
hilarious,urkomisch
hint,Hinweis
hip,Hüfte
historian,Historiker
homeland,Heimat
homeless,obdachlos
honesty,Ehrlichkeit
hook,Haken
hopeful,hoffnungsvoll
hopefully,hoffentlich
horizon,Horizont
horn,Horn
hostage,Geisel
hostile,feindselig
hostility,Feindseligkeit
humanitarian,humanitäre
humanity,Menschheit
humble,bescheiden
hunger,Hunger
hydrogen,Wasserstoff
hypothesis,Hypothese
icon,Symbol
identical,identisch
identification,Identifikation
ideological,ideologisch
ideology,Ideologie
idiot,Idiot
ignorance,Unwissenheit
illusion,Illusion
imagery,Bildsprache
immense,immens
immigration,Einwanderung
imminent,unmittelbar bevorstehend
immune,immun
implement,implementieren
implementation,Durchführung
implication,Implikation
imprison,einsperren
imprisonment,Haft
inability,Unfähigkeit
inadequate,unzureichend
inappropriate,unangemessen
incentive,Anreiz
incidence,Häufigkeit
inclined,geneigt
inclusion,Aufnahme
incorporate,einbeziehen
incorrect,falsch
incur,entstehen
independence,Unabhängigkeit
index,Index
indication,Anzeige
indicator,Indikator
indictment,Anklage
indigenous,indigene
induce,induzieren
indulge,frönen
inequality,Ungleichheit
inevitable,unvermeidlich
infamous,berüchtigt
infant,Säugling
infect,infizieren
infer,schließen
inflation,Inflation
inflict,zufügen
influential,einflussreich
info,Info
infrastructure,Infrastruktur
inhabitant,Einwohner
inherent,inhärent
inherit,erben
inhibit,hemmen
initiate,einleiten
inject,injizieren
injection,Injektion
injustice,Ungerechtigkeit
ink,Tinte
inmate,Insasse
innovation,Innovation
innovative,innovativ
input,Eingang
insert,einfügen
insertion,Einfügung
insider,Insider
inspect,überprüfen
inspection,Inspektion
inspector,Inspektor
inspiration,Inspiration
installation,Installation
instant,sofort
instantly,sofort
instinct,Instinkt
institutional,institutionell
instruct,anweisen
instrumental,instrumental
insufficient,unzureichend
insult,Beleidigung
intact,intakt
intake,Aufnahme
integral,Integral
integrate,integrieren
integrated,integriert
integration,Integration
integrity,Integrität
intellectual,intellektuell
intensify,intensivieren
intensity,Intensität
intensive,intensiv
intent,Absicht
interact,interagieren
interaction,Interaktion
interactive,interaktiv
interface,Schnittstelle
interfere,stören
interference,Interferenz
interim,Zwischen
interior,Innere
intermediate,dazwischenliegend
interpretation,Interpretation
interval,Intervall
intervene,eingreifen
intervention,Intervention
intimate,intim
intriguing,faszinierend
invade,eindringen
invasion,Invasion
investigator,Ermittler
investor,Investor
invisible,unsichtbar
invoke,aufrufen
involvement,Beteiligung
ironic,ironisch
ironically,ironisch
irony,Ironie
irrelevant,irrelevant
isolate,isolieren
isolated,isoliert
isolation,Isolierung
jail,Gefängnis
jet,Jet
joint,gemeinsam
journalism,Journalismus
judicial,gerichtlich
junction,Kreuzung
jurisdiction,Zuständigkeit
jury,Jury
just,Nur
justification,Rechtfertigung
kidnap,entführen
kidney,Niere
kingdom,Königreich
kit,Bausatz
lad,Junge
ladder,Leiter
landing,Landung
landlord,Vermieter
landmark,Wahrzeichen
lane,Fahrbahn
lap,Schoß
large-scale,groß angelegt
laser,Laser
lately,in letzter Zeit
latter,letztere
lawn,Rasen
lawsuit,Klage
layout,Layout
leaflet,Broschüre
leak,Leck
leap,Sprung
legacy,Vermächtnis
legend,Legende
legendary,legendär
legislation,Gesetzgebung
legislative,Gesetzgebung
legislature,Legislative
legitimate,legitim
lengthy,lang
lens,Linse
lesbian,lesbisch
lesser,geringer
lethal,tödlich
liable,haftbar
liberal,Liberale
liberation,Befreiung
liberty,Freiheit
license,Lizenz
lifelong,lebenslange
lifetime,Lebensdauer
lighting,Beleuchtung
likelihood,Wahrscheinlichkeit
likewise,ebenfalls
limb,Glied
limitation,Einschränkung
line-up,ausrichten
linear,linear
linger,verweilen
listing,Auflistung
literacy,Alphabetisierung
literally,buchstäblich
literary,literarische
litre,Liter
litter,Wurf
liver,Leber
lobby,Lobby
log,Protokoll
logic,Logik
logo,Logo
long-standing,langjährige
long-time,langjährige
loom,Webstuhl
loop,Schleife
lottery,Lotterie
loyal,treu
loyalty,Loyalität
lyric,lyrisch
machinery,Maschinen
magical,magisch
magistrate,Richter
magnetic,magnetisch
magnificent,herrlich
magnitude,Größe
mainland,Festland
mainstream,Mainstream
maintenance,Wartung
major,wesentlich
make-up,bilden
making,Herstellung
mandate,Mandat
mandatory,obligatorisch
manifest,Manifest
manipulate,manipulieren
manipulation,Manipulation
manufacture,Herstellung
manufacturing,Herstellung
manuscript,Manuskript
marathon,Marathon
march,Marsch
margin,Marge
marginal,marginal
marine,Marine
marker,Marker
marketplace,Marktplatz
martial,Kampf
mask,Maske
massacre,Massaker
mate,Kumpel
mathematical,mathematische
mature,reifen
maximize,maximieren
mayor,Bürgermeister
meaningful,sinnvoll
meantime,inzwischen
mechanic,Mechaniker
mechanical,mechanisch
mechanism,Mechanismus
medal,Medaille
medication,Medikamente
medieval,mittelalterlich
meditation,Meditation
melody,Melodie
membership,Mitgliedschaft
memo,Memo
memoir,Memoiren
memorable,unvergesslich
memorial,Denkmal
mentor,Mentor
merchant,Händler
mercy,Barmherzigkeit
mere,bloß
merely,lediglich
merge,verschmelzen
merger,Fusion
merit,Verdienst
metaphor,Metapher
methodology,Methodik
midst,Mitte
migration,Migration
militant,militant
militia,Miliz
mill,Mühle
miner,Bergmann
minimal,minimal
minimize,minimieren
mining,Bergbau
ministry,Ministerium
minute,Minute
miracle,Wunder
miserable,miserabel
misery,Elend
misleading,irreführend
missile,Rakete
mob,Mob
mobility,Mobilität
mobilize,mobilisieren
mode,Modus
moderate,mäßig
modest,bescheiden
modification,Änderung
momentum,Schwung
monk,Mönch
monopoly,Monopol
monster,Monster
monthly,monatlich
monument,Monument
morality,Moral
moreover,darüber hinaus
mortgage,Hypothek
mosque,Moschee
motion,Bewegung
motivate,motivieren
motivation,Motivation
motive,Motiv
motorist,Autofahrer
moving,Bewegung
municipal,städtisch
mutual,gegenseitig
myth,Mythos
naked,nackt
namely,nämlich
nasty,böse
nationwide,landesweit
naval,Marine-
navigation,Navigation
nearby,nahe
necessity,Notwendigkeit
neglect,Vernachlässigung
negotiate,verhandeln
negotiation,Verhandlung
neighbouring,benachbart
nest,Nest
net,netto
neutral,neutral
newly,neu
newsletter,Newsletter
niche,Nische
noble,edel
nod,nicken
nominate,nominieren
nomination,Nominierung
nominee,Kandidat
non-profit,gemeinnützig
nonetheless,dennoch
nonsense,Unsinn
noon,Mittag
norm,Norm
notable,bemerkenswert
notably,vor allem
notebook,Notizbuch
notify,benachrichtigen
notorious,berüchtigt
novel,Roman
novelist,Romancier
nowadays,heutzutage
nursery,Kindergarten
nursing,Pflege
nutrition,Ernährung
obesity,Fettleibigkeit
objection,Einspruch
oblige,verpflichten
observer,Beobachter
obsess,besessen
obsession,Besessenheit
obstacle,Hindernis
occasional,gelegentlich
occupation,Beruf
occupy,besetzen
occurrence,Auftreten
odds,Chancen
offender,Täter
offering,Angebot
offspring,Nachwuchs
ongoing,laufend
openly,offen
opera,Oper
operational,betriebsbereit
operator,Operator
opt,Option
optical,optisch
optimism,Optimismus
optimistic,optimistisch
oral,Oral-
orchestra,Orchester
organic,Bio
organizational,Organisation
orientation,Orientierung
originate,Ursprung
outbreak,Ausbruch
outfit,Outfit
outing,Ausflug
outlet,Outlet
outlook,Ausblick
output,Ausgabe
outrage,Empörung
outsider,Außenseiter
outstanding,hervorragend
overcome,überwinden
overlook,übersehen
overly,übermäßig
overnight,über Nacht
overseas,Übersee-
oversee,überwachen
overturn,Aufhebung
overwhelm,überwältigen
overwhelming,überwältigend
ownership,Eigentum
oxygen,Sauerstoff
packet,Paket
pad,Unterlage
palm,Palme
panic,Panik
parade,Parade
parallel,parallel
parameter,Parameter
parental,elterlich
parish,Gemeinde
parliamentary,parlamentarisch
part-time,Teilzeit
partial,teilweise
partially,teilweise
participation,Teilnahme
partnership,Partnerschaft
passing,vorbei
passionate,leidenschaftlich
passive,passiv
password,Passwort
pastor,Pastor
patch,Patch
patent,Patent
pathway,Weg
patience,Geduld
patrol,patrouillieren
patron,Patron
pause,Pause
peak,Gipfel
peasant,Bauer
peculiar,eigenartig
peer,Peer
penalty,Strafe
perceive,wahrnehmen
perception,Wahrnehmung
permanently,permanent
persist,bestehen
persistent,hartnäckig
personnel,Personal
petition,Petition
philosopher,Philosoph
philosophical,philosophisch
physician,Arzt
pill,Pille
pioneer,Pionier
pipeline,Pipeline
pirate,Pirat
pit,Grube
pity,Mitleid
placement,Platzierung
plea,Plädoyer
plead,flehen
pledge,versprechen
plug,Stecker
plunge,stürzen
pole,Pole
poll,Umfrage
pond,Teich
pop,Pop
portfolio,Portfolio
portion,Portion
portray,porträtieren
post-war,Nachkriegszeit
postpone,verschieben
potentially,potenziell
practitioner,Praktiker
preach,predigen
precede,vorausgehen
precedent,Präzedenzfall
precious,wertvoll
precise,präzise
precisely,genau
precision,Präzision
predator,Raubtier
predecessor,Vorgänger
predictable,vorhersehbar
predominantly,überwiegend
preference,Präferenz
pregnancy,Schwangerschaft
prejudice,Vorurteil
preliminary,vorläufig
premier,Premier
premise,Prämisse
premium,Prämie
prescribe,verschreiben
prescription,Rezept
presently,gegenwärtig
preservation,Erhaltung
preside,präsidieren
presidency,Präsidentschaft
presidential,Präsidentschaft
prestigious,prestigeträchtig
presumably,vermutlich
presume,vermuten
prevail,sich durchsetzen
prevalence,Prävalenz
prevention,Verhütung
prey,Beute
pride,Stolz
primarily,in erster Linie
principal,Rektor
prior,vor
privatization,Privatisierung
privilege,Privileg
probability,Wahrscheinlichkeit
probable,wahrscheinlich
probe,Sonde
problematic,problematisch
proceed,fortfahren
proceeding,Fortsetzung
proceeds,Erlös
processing,Verarbeitung
processor,Prozessor
proclaim,verkünden
productive,produktiv
productivity,Produktivität
profitable,profitabel
profound,tiefgreifend
programming,Programmierung
progressive,fortschrittlich
prohibit,verbieten
projection,Vorsprung
prominent,prominent
promising,vielversprechend
promotion,Förderung
prompt,prompt
pronounced,ausgesprochen
propaganda,Propaganda
proportion,Anteil
proposition,Satz
prosecute,anklagen
prosecution,Strafverfolgung
prosecutor,Staatsanwalt
prospective,Perspektive
prosperity,Wohlstand
protective,Schutz
protein,Protein
protester,Demonstrant
protocol,Protokoll
province,Provinz
provincial,provinziell
provision,Bestimmung
provoke,provozieren
psychiatric,psychiatrisch
psychological,psychologische
publicity,Werbung
publishing,Veröffentlichung
pulse,Impuls
pump,Pumpe
punch,Stempel
punk,Punk
purely,rein
pursuit,verfolgen
puzzle,Puzzle
query,Abfrage
quest,Suche
questionnaire,Fragebogen
quota,Quote
racial,rassistisch
racism,Rassismus
racist,Rassist
radar,Radar
radiation,Strahlung
radical,Radikale
rage,Wut
raid,Überfall
rail,Schiene
rally,Rallye
random,zufällig
ranking,Rang
rape,vergewaltigen
rat,Ratte
rating,Bewertung
ratio,Verhältnis
rational,rational
ray,Strahl
readily,leicht
realization,Realisierung
realm,Reich
rear,hinteren
reasonably,vernünftigerweise
reasoning,Argumentation
reassure,beruhigen
rebel,Rebell
rebellion,Rebellion
rebuild,Wiederaufbau
receiver,Empfänger
recession,Rezession
recipient,Empfänger
